x,y,lat,lon,wind_farm_count,total_power,i_index,j_index
3947500.0,3003500.0,53.88959884643555,9.174300193786621,1,1500,761,277
3940500.0,3004500.0,53.898101806640625,9.064000129699707,12,24000,762,270
3941500.0,3004500.0,53.89830017089844,9.079700469970703,5,10000,762,271
3940500.0,3005500.0,53.90739822387695,9.063799858093262,6,17010,763,270
3941500.0,3005500.0,53.907501220703125,9.079500198364258,3,6900,763,271
3942500.0,3005500.0,53.90769958496094,9.095199584960938,1,800,763,272
3933500.0,3006500.0,53.91579818725586,8.953399658203125,5,11000,764,263
3934500.0,3006500.0,53.91600036621094,8.969200134277344,2,4600,764,264
3935500.0,3006500.0,53.916099548339844,8.98490047454834,1,2300,764,265
3936500.0,3006500.0,53.91619873046875,9.00059986114502,8,21800,764,266
3939500.0,3006500.0,53.91659927368164,9.047800064086914,4,12170,764,269
3940500.0,3006500.0,53.91669845581055,9.063599586486816,9,29060,764,270
3941500.0,3006500.0,53.91680145263672,9.079299926757812,4,12470,764,271
3942500.0,3006500.0,53.91699981689453,9.095000267028809,2,6350,764,272
3943500.0,3006500.0,53.91709899902344,9.110799789428711,3,9800,764,273
3944500.0,3006500.0,53.917198181152344,9.126500129699707,1,3300,764,274
3932500.0,3007500.0,53.92499923706055,8.9375,7,13200,765,262
3934500.0,3007500.0,53.92530059814453,8.968899726867676,1,2300,765,264
3935500.0,3007500.0,53.92539978027344,8.984700202941895,4,9200,765,265
3936500.0,3007500.0,53.925498962402344,9.000399589538574,4,9200,765,266
3939500.0,3007500.0,53.925899505615234,9.047599792480469,1,2990,765,269
3940500.0,3007500.0,53.92599868774414,9.063400268554688,2,5980,765,270
3941500.0,3007500.0,53.92610168457031,9.079099655151367,1,2000,765,271
3942500.0,3007500.0,53.92620086669922,9.094900131225586,15,46800,765,272
3943500.0,3007500.0,53.92639923095703,9.110600471496582,4,13200,765,273
3944500.0,3007500.0,53.92649841308594,9.126299858093262,3,9100,765,274
3945500.0,3007500.0,53.92660140991211,9.14210033416748,2,6000,765,275
3931500.0,3008500.0,53.934200286865234,8.921500205993652,2,4600,766,261
3932500.0,3008500.0,53.93429946899414,8.937199592590332,5,10700,766,262
3934500.0,3008500.0,53.934600830078125,8.968700408935547,2,4300,766,264
3938500.0,3008500.0,53.93510055541992,9.031700134277344,1,3000,766,268
3939500.0,3008500.0,53.93519973754883,9.04740047454834,4,12000,766,269
3931500.0,3009500.0,53.94340133666992,8.921299934387207,1,4200,767,261
3933500.0,3009500.0,53.94369888305664,8.952799797058105,2,5000,767,263
3934500.0,3009500.0,53.94380187988281,8.968500137329102,2,4350,767,264
3938500.0,3009500.0,53.94430160522461,9.031499862670898,1,5700,767,268
3939500.0,3009500.0,53.94449996948242,9.047200202941895,1,3000,767,269
3941500.0,3009500.0,53.944698333740234,9.078700065612793,1,3400,767,271
3942500.0,3009500.0,53.944801330566406,9.094499588012695,4,13600,767,272
3930500.0,3010500.0,53.952598571777344,8.90530014038086,2,4600,768,260
3931500.0,3010500.0,53.952701568603516,8.920999526977539,11,23500,768,261
3932500.0,3010500.0,53.95289993286133,8.936800003051758,7,20950,768,262
